frame.time_epoch,frame.len
1735835355.126514000,66
1735835355.127088000,66
1735835355.127727000,66
1735835355.128414000,66
1735835355.128906000,66
1735835355.130325000,66
1735835355.331264000,7306
1735835355.331780000,7306
1735835355.332419000,7306
1735835355.332955000,7306
1735835355.333577000,7306
1735835355.334214000,7306
1735835355.334799000,7306
1735835355.335379000,7306
1735835355.335988000,7306
1735835355.336625000,7306
1735835355.337221000,7306
1735835355.337871000,7306
1735835355.338474000,7306
1735835355.339081000,7306
1735835355.339699000,7306
1735835355.340236000,7306
1735835355.340900000,7306
1735835355.341453000,7306
1735835355.342109000,818
1735835355.381445000,66
1735835355.381955000,66
1735835355.382607000,66
1735835355.383133000,66
1735835355.383752000,66
1735835355.384421000,66
1735835355.385061000,66
1735835355.385503000,66
1735835355.386132000,66
1735835355.386843000,66
1735835355.387482000,66
1735835355.388097000,66
1735835355.388580000,66
1735835355.389339000,66
1735835355.389820000,66
1735835355.390378000,66
1735835355.391107000,66
1735835355.391645000,66
1735835355.392315000,66
1735835355.594311000,7306
1735835355.594806000,7306
1735835355.595407000,7306
1735835355.596069000,7306
1735835355.596636000,7306
1735835355.597280000,7306
1735835355.597850000,7306
1735835355.598503000,7306
1735835355.599045000,7306
1735835355.599647000,7306
1735835355.600309000,7306
1735835355.600889000,7306
1735835355.601480000,7306
1735835355.602127000,7306
1735835355.602677000,7306
1735835355.603308000,7306
1735835355.603948000,7306
1735835355.604494000,7306
1735835355.605154000,818
1735835355.644464000,66
1735835355.644867000,66
1735835355.645517000,66
1735835355.646185000,66
1735835355.646812000,66
1735835355.647418000,66
1735835355.647926000,66
1735835355.648676000,66
1735835355.649124000,66
1735835355.649769000,66
1735835355.650434000,66
1735835355.651025000,66
1735835355.651559000,66
1735835355.652217000,66
1735835355.652920000,66
1735835355.654203000,66
1735835355.654595000,66
1735835355.655244000,66
1735835355.856304000,7306
1735835355.856801000,7306
1735835355.857403000,7306
1735835355.858005000,7306
1735835355.858632000,7306
1735835355.859234000,7306
1735835355.859835000,7306
1735835355.860443000,7306
1735835355.861036000,7306
1735835355.861647000,7306
1735835355.862248000,7306
1735835355.862880000,7306
1735835355.863467000,7306
1735835355.864062000,7306
1735835355.864724000,7306
1735835355.865278000,7306
1735835355.865944000,7306
1735835355.866497000,7306
1735835355.867090000,818
1735835355.906424000,66
1735835355.906862000,66
1735835355.907465000,66
1735835355.908063000,66
1735835355.908741000,66
1735835355.909349000,66
1735835355.909969000,66
1735835355.910513000,66
1735835355.911126000,66
1735835355.911719000,66
1735835355.912366000,66
1735835355.913027000,66
1735835355.913540000,66
1735835355.914176000,66
1735835355.914863000,66
1735835355.915392000,66
1735835355.916090000,66
1735835355.916566000,66
1735835355.917147000,66
1735835356.118297000,7306
1735835356.118791000,7306
1735835356.119446000,7306
1735835356.120058000,7306
1735835356.120662000,7306
1735835356.121232000,7306
1735835356.121830000,7306
1735835356.122422000,7306
1735835356.123080000,7306
1735835356.123631000,7306
1735835356.124294000,7306
1735835356.124843000,7306
1735835356.125471000,7306
1735835356.126119000,7306
1735835356.126677000,7306
1735835356.127271000,7306
1735835356.127927000,7306
1735835356.128481000,7306
1735835356.129106000,818
1735835356.168530000,66
1735835356.168953000,66
1735835356.169620000,66
1735835356.170229000,66
1735835356.170831000,66
1735835356.171414000,66
1735835356.171983000,66
1735835356.172508000,66
1735835356.173201000,66
1735835356.173738000,66
1735835356.174388000,66
1735835356.174980000,66
1735835356.175586000,66
1735835356.176837000,66
1735835356.177416000,66
1735835356.178008000,66
1735835356.178546000,66
1735835356.179228000,66
1735835356.380401000,7306
1735835356.380893000,7306
1735835356.381502000,7306
1735835356.382093000,7306
1735835356.382739000,7306
1735835356.383308000,7306
1735835356.383953000,7306
